Month	Day	Year	Time	Moves	Score
12	23	2023	5.9675882379213965	87	35
12	23	2023	5.376819070180257	91	39
12	23	2023	5.277167089780172	85	33
12	23	2023	6.437595955530802	86	34
12	24	2023	5.312668097019196	88	36
12	24	2023	8.392206764221191	95	43
12	26	2023	4.6440749327341715	91	39
12	26	2023	2.2832138419151304	83	31
12	26	2023	2.363229481379191	85	33
12	26	2023	3.369226360321045	90	38
12	26	2023	3.090701909859975	83	31
12	26	2023	2.893637216091156	84	32
12	26	2023	2.3773531556129455	74	22
12	27	2023	3.415782602628072	96	44
12	27	2023	2.488361410299937	85	33
12	27	2023	3.6721274495124816	92	40
12	27	2023	3.846499224503835	95	43
12	27	2023	2.2744937856992085	81	29
12	27	2023	1.9257521033287048	75	23
12	27	2023	3.541835693518321	88	36
12	27	2023	4.110345268249512	94	42
12	27	2023	2.703438850243886	87	35
